ID,Layer 0,Layer 1,Layer 2,Layer 3,Layer 4,Layer 5,Accuracy,"Partition (Tn, Tm)",Partition (#LUTs),Partition (#cycles),Total LUT,Total Throughput,Time
443,"{'act_num_int_bits': 2, 'act_num_frac_bits': 4, 'weight_num_int_bits': 2, 'weight_num_frac_bits': 4}","{'act_num_int_bits': 3, 'act_num_frac_bits': 2, 'weight_num_int_bits': 2, 'weight_num_frac_bits': 6}","{'act_num_int_bits': 3, 'act_num_frac_bits': 5, 'weight_num_int_bits': 0, 'weight_num_frac_bits': 5}","{'act_num_int_bits': 2, 'act_num_frac_bits': 2, 'weight_num_int_bits': 0, 'weight_num_frac_bits': 5}","{'act_num_int_bits': 3, 'act_num_frac_bits': 4, 'weight_num_int_bits': 0, 'weight_num_frac_bits': 6}","{'act_num_int_bits': 2, 'act_num_frac_bits': 0, 'weight_num_int_bits': 0, 'weight_num_frac_bits': 3}",0.6355,"[[(3, 64), (64, 48), (48, 48), (16, 64), (64, 36), (36, 64)]]","[[4672.0, 126384.0, 85824.0, 41344.0, 71748.0, 65088.0]]","[[918, 80640, 43200, 77760, 85120, 3456]]",395060.0,1174.812030075188,3.2051587104797363
444,"{'act_num_int_bits': 2, 'act_num_frac_bits': 4, 'weight_num_int_bits': 1, 'weight_num_frac_bits': 4}","{'act_num_int_bits': 3, 'act_num_frac_bits': 2, 'weight_num_int_bits': 2, 'weight_num_frac_bits': 6}","{'act_num_int_bits': 3, 'act_num_frac_bits': 5, 'weight_num_int_bits': 0, 'weight_num_frac_bits': 5}","{'act_num_int_bits': 2, 'act_num_frac_bits': 2, 'weight_num_int_bits': 0, 'weight_num_frac_bits': 5}","{'act_num_int_bits': 3, 'act_num_frac_bits': 4, 'weight_num_int_bits': 0, 'weight_num_frac_bits': 6}","{'act_num_int_bits': 2, 'act_num_frac_bits': 0, 'weight_num_int_bits': 0, 'weight_num_frac_bits': 3}",0.6322,"[[(3, 64), (64, 48), (48, 48), (16, 64), (64, 36), (36, 64)]]","[[4224.0, 126384.0, 85824.0, 41344.0, 71748.0, 65088.0]]","[[918, 80640, 43200, 77760, 85120, 3456]]",394612.0,1174.812030075188,3.2031149864196777
445,"{'act_num_int_bits': 2, 'act_num_frac_bits': 4, 'weight_num_int_bits': 0, 'weight_num_frac_bits': 4}","{'act_num_int_bits': 3, 'act_num_frac_bits': 2, 'weight_num_int_bits': 2, 'weight_num_frac_bits': 6}","{'act_num_int_bits': 3, 'act_num_frac_bits': 5, 'weight_num_int_bits': 0, 'weight_num_frac_bits': 5}","{'act_num_int_bits': 2, 'act_num_frac_bits': 2, 'weight_num_int_bits': 0, 'weight_num_frac_bits': 5}","{'act_num_int_bits': 3, 'act_num_frac_bits': 4, 'weight_num_int_bits': 0, 'weight_num_frac_bits': 6}","{'act_num_int_bits': 2, 'act_num_frac_bits': 0, 'weight_num_int_bits': 0, 'weight_num_frac_bits': 3}",0.6338,"[[(3, 64), (64, 48), (48, 48), (16, 64), (64, 36), (36, 64)]]","[[3776.0, 126384.0, 85824.0, 41344.0, 71748.0, 65088.0]]","[[918, 80640, 43200, 77760, 85120, 3456]]",394164.0,1174.812030075188,3.2502737045288086
446,"{'act_num_int_bits': 2, 'act_num_frac_bits': 4, 'weight_num_int_bits': 2, 'weight_num_frac_bits': 4}","{'act_num_int_bits': 3, 'act_num_frac_bits': 2, 'weight_num_int_bits': 2, 'weight_num_frac_bits': 6}","{'act_num_int_bits': 3, 'act_num_frac_bits': 5, 'weight_num_int_bits': 0, 'weight_num_frac_bits': 5}","{'act_num_int_bits': 2, 'act_num_frac_bits': 2, 'weight_num_int_bits': 0, 'weight_num_frac_bits': 5}","{'act_num_int_bits': 3, 'act_num_frac_bits': 4, 'weight_num_int_bits': 0, 'weight_num_frac_bits': 6}","{'act_num_int_bits': 2, 'act_num_frac_bits': 0, 'weight_num_int_bits': 0, 'weight_num_frac_bits': 3}",0.6303,"[[(3, 64), (64, 48), (48, 48), (16, 64), (64, 36), (36, 64)]]","[[4672.0, 126384.0, 85824.0, 41344.0, 71748.0, 65088.0]]","[[918, 80640, 43200, 77760, 85120, 3456]]",395060.0,1174.812030075188,3.0584864616394043
447,"{'act_num_int_bits': 2, 'act_num_frac_bits': 4, 'weight_num_int_bits': 2, 'weight_num_frac_bits': 4}","{'act_num_int_bits': 3, 'act_num_frac_bits': 2, 'weight_num_int_bits': 2, 'weight_num_frac_bits': 6}","{'act_num_int_bits': 3, 'act_num_frac_bits': 3, 'weight_num_int_bits': 0, 'weight_num_frac_bits': 5}","{'act_num_int_bits': 2, 'act_num_frac_bits': 2, 'weight_num_int_bits': 0, 'weight_num_frac_bits': 5}","{'act_num_int_bits': 3, 'act_num_frac_bits': 4, 'weight_num_int_bits': 0, 'weight_num_frac_bits': 6}","{'act_num_int_bits': 2, 'act_num_frac_bits': 0, 'weight_num_int_bits': 0, 'weight_num_frac_bits': 3}",0.6313,"[[(3, 64), (64, 48), (48, 48), (16, 64), (64, 36), (36, 64)]]","[[4672.0, 126384.0, 85728.0, 39296.0, 71748.0, 65088.0]]","[[918, 80640, 43200, 77760, 85120, 3456]]",392916.0,1174.812030075188,3.1482415199279785
448,"{'act_num_int_bits': 2, 'act_num_frac_bits': 4, 'weight_num_int_bits': 2, 'weight_num_frac_bits': 4}","{'act_num_int_bits': 3, 'act_num_frac_bits': 2, 'weight_num_int_bits': 2, 'weight_num_frac_bits': 6}","{'act_num_int_bits': 3, 'act_num_frac_bits': 5, 'weight_num_int_bits': 0, 'weight_num_frac_bits': 5}","{'act_num_int_bits': 2, 'act_num_frac_bits': 2, 'weight_num_int_bits': 0, 'weight_num_frac_bits': 5}","{'act_num_int_bits': 3, 'act_num_frac_bits': 4, 'weight_num_int_bits': 0, 'weight_num_frac_bits': 6}","{'act_num_int_bits': 2, 'act_num_frac_bits': 0, 'weight_num_int_bits': 0, 'weight_num_frac_bits': 3}",0.6292,"[[(3, 64), (64, 48), (48, 48), (16, 64), (64, 36), (36, 64)]]","[[4672.0, 126384.0, 85824.0, 41344.0, 71748.0, 65088.0]]","[[918, 80640, 43200, 77760, 85120, 3456]]",395060.0,1174.812030075188,2.98829984664917
449,"{'act_num_int_bits': 2, 'act_num_frac_bits': 6, 'weight_num_int_bits': 2, 'weight_num_frac_bits': 4}","{'act_num_int_bits': 3, 'act_num_frac_bits': 2, 'weight_num_int_bits': 2, 'weight_num_frac_bits': 6}","{'act_num_int_bits': 3, 'act_num_frac_bits': 5, 'weight_num_int_bits': 0, 'weight_num_frac_bits': 5}","{'act_num_int_bits': 2, 'act_num_frac_bits': 2, 'weight_num_int_bits': 0, 'weight_num_frac_bits': 5}","{'act_num_int_bits': 3, 'act_num_frac_bits': 4, 'weight_num_int_bits': 0, 'weight_num_frac_bits': 6}","{'act_num_int_bits': 2, 'act_num_frac_bits': 0, 'weight_num_int_bits': 0, 'weight_num_frac_bits': 3}",0.6269,"[[(3, 64), (64, 48), (48, 48), (16, 64), (64, 36), (36, 64)]]","[[4800.0, 132528.0, 85824.0, 41344.0, 71748.0, 65088.0]]","[[918, 80640, 43200, 77760, 85120, 3456]]",401332.0,1174.812030075188,2.9838054180145264
450,"{'act_num_int_bits': 2, 'act_num_frac_bits': 6, 'weight_num_int_bits': 2, 'weight_num_frac_bits': 4}","{'act_num_int_bits': 3, 'act_num_frac_bits': 2, 'weight_num_int_bits': 2, 'weight_num_frac_bits': 6}","{'act_num_int_bits': 3, 'act_num_frac_bits': 5, 'weight_num_int_bits': 0, 'weight_num_frac_bits': 5}","{'act_num_int_bits': 2, 'act_num_frac_bits': 2, 'weight_num_int_bits': 0, 'weight_num_frac_bits': 5}","{'act_num_int_bits': 3, 'act_num_frac_bits': 4, 'weight_num_int_bits': 0, 'weight_num_frac_bits': 6}","{'act_num_int_bits': 2, 'act_num_frac_bits': 0, 'weight_num_int_bits': 0, 'weight_num_frac_bits': 3}",0.635,"[[(3, 64), (64, 48), (48, 48), (16, 64), (64, 36), (36, 64)]]","[[4800.0, 132528.0, 85824.0, 41344.0, 71748.0, 65088.0]]","[[918, 80640, 43200, 77760, 85120, 3456]]",401332.0,1174.812030075188,3.180196523666382
451,"{'act_num_int_bits': 2, 'act_num_frac_bits': 4, 'weight_num_int_bits': 2, 'weight_num_frac_bits': 4}","{'act_num_int_bits': 3, 'act_num_frac_bits': 2, 'weight_num_int_bits': 2, 'weight_num_frac_bits': 6}","{'act_num_int_bits': 3, 'act_num_frac_bits': 5, 'weight_num_int_bits': 0, 'weight_num_frac_bits': 5}","{'act_num_int_bits': 2, 'act_num_frac_bits': 2, 'weight_num_int_bits': 0, 'weight_num_frac_bits': 5}","{'act_num_int_bits': 3, 'act_num_frac_bits': 4, 'weight_num_int_bits': 0, 'weight_num_frac_bits': 6}","{'act_num_int_bits': 2, 'act_num_frac_bits': 0, 'weight_num_int_bits': 0, 'weight_num_frac_bits': 3}",0.6288,"[[(3, 64), (64, 48), (48, 48), (16, 64), (64, 36), (36, 64)]]","[[4672.0, 126384.0, 85824.0, 41344.0, 71748.0, 65088.0]]","[[918, 80640, 43200, 77760, 85120, 3456]]",395060.0,1174.812030075188,3.0351150035858154
452,"{'act_num_int_bits': 2, 'act_num_frac_bits': 4, 'weight_num_int_bits': 2, 'weight_num_frac_bits': 4}","{'act_num_int_bits': 3, 'act_num_frac_bits': 2, 'weight_num_int_bits': 2, 'weight_num_frac_bits': 6}","{'act_num_int_bits': 3, 'act_num_frac_bits': 5, 'weight_num_int_bits': 0, 'weight_num_frac_bits': 5}","{'act_num_int_bits': 2, 'act_num_frac_bits': 2, 'weight_num_int_bits': 0, 'weight_num_frac_bits': 5}","{'act_num_int_bits': 3, 'act_num_frac_bits': 4, 'weight_num_int_bits': 0, 'weight_num_frac_bits': 6}","{'act_num_int_bits': 2, 'act_num_frac_bits': 0, 'weight_num_int_bits': 0, 'weight_num_frac_bits': 3}",0.6274,"[[(3, 64), (64, 48), (48, 48), (16, 64), (64, 36), (36, 64)]]","[[4672.0, 126384.0, 85824.0, 41344.0, 71748.0, 65088.0]]","[[918, 80640, 43200, 77760, 85120, 3456]]",395060.0,1174.812030075188,2.9860470294952393
